course_id,student_id,course_code,course_title,credit,semester,faculty,section,enrolled_status
CRS000101,2026014900000001,CSE101,Structured Programming,3.0,1,Ms. Akter,A,Enrolled
CRS000102,2026014900000001,CSE203,Data Structures,3.0,1,Mr. Chowdhury,A,Enrolled
CRS000103,2026014900000001,CSE211,Database Systems,3.0,1,Prof. Sultana,A,Enrolled
CRS000104,2026014900000001,CSE305,Operating Systems,3.0,1,Dr. Rahman,A,Enrolled
CRS000105,2026014900000001,CSE321,Artificial Intelligence,3.0,1,Dr. Rahman,A,Enrolled
CRS000201,2026025000000002,EEE101,Electrical Circuits,3.0,2,Mr. Chowdhury,B,Enrolled
CRS000202,2026025000000002,EEE203,Digital Electronics,3.0,2,Ms. Akter,B,Enrolled
CRS000203,2026025000000002,EEE221,Signals and Systems,3.0,2,Mr. Chowdhury,B,Enrolled
CRS000204,2026025000000002,EEE303,Power Systems,3.0,2,Mr. Chowdhury,B,Enrolled
CRS000205,2026025000000002,EEE315,Control Systems,3.0,2,Mr. Chowdhury,B,Enrolled
CRS000301,2026035100000003,BUS101,Principles of Management,3.0,3,Prof. Sultana,C,Enrolled
CRS000302,2026035100000003,BUS203,Business Communication,3.0,3,Mr. Chowdhury,C,Enrolled
CRS000303,2026035100000003,FIN221,Corporate Finance,3.0,3,Dr. Karim,C,Enrolled
CRS000304,2026035100000003,MKT301,Marketing Management,3.0,3,Prof. Sultana,C,Enrolled
CRS000305,2026035100000003,ACC211,Financial Accounting,3.0,3,Prof. Sultana,C,Enrolled
CRS000401,2026045200000004,ENG101,Composition and Rhetoric,3.0,4,Prof. Sultana,D,Enrolled
CRS000402,2026045200000004,ENG205,Bangladeshi Literature,3.0,4,Dr. Rahman,D,Enrolled
CRS000403,2026045200000004,ENG221,Phonetics,3.0,4,Mr. Chowdhury,D,Enrolled
CRS000404,2026045200000004,ENG303,Postcolonial Studies,3.0,4,Dr. Rahman,D,Enrolled
CRS000405,2026045200000004,ENG315,ELT Methods,3.0,4,Ms. Akter,D,Enrolled
CRS000501,2026055300000005,LAW101,Legal System of Bangladesh,3.0,5,Mr. Chowdhury,A,Enrolled
CRS000502,2026055300000005,LAW203,Constitutional Law,3.0,5,Prof. Sultana,A,Enrolled
CRS000503,2026055300000005,LAW221,Criminal Law,3.0,5,Ms. Akter,A,Enrolled
CRS000504,2026055300000005,LAW303,Contract Law,3.0,5,Ms. Akter,A,Enrolled
CRS000505,2026055300000005,LAW315,Land Laws,3.0,5,Mr. Chowdhury,A,Enrolled
CRS000601,2026065400000006,PHR101,Pharmaceutical Chemistry,3.0,6,Mr. Chowdhury,B,Enrolled
CRS000602,2026065400000006,PHR203,Pharmacognosy,3.0,6,Mr. Chowdhury,B,Enrolled
CRS000603,2026065400000006,PHR221,Human Physiology,3.0,6,Mr. Chowdhury,B,Enrolled
CRS000604,2026065400000006,PHR303,Clinical Pharmacy,3.0,6,Prof. Sultana,B,Enrolled
CRS000605,2026065400000006,PHR315,Dosage Form Design,3.0,6,Dr. Rahman,B,Enrolled
CRS000701,2026075500000007,CE101,Engineering Drawing,3.0,7,Mr. Chowdhury,C,Enrolled
CRS000702,2026075500000007,CE203,Structural Mechanics,3.0,7,Dr. Rahman,C,Enrolled
CRS000703,2026075500000007,CE221,Surveying,3.0,7,Mr. Chowdhury,C,Enrolled
CRS000704,2026075500000007,CE303,Transportation Engineering,3.0,7,Dr. Rahman,C,Enrolled
CRS000705,2026075500000007,CE315,Environmental Engineering,3.0,7,Dr. Rahman,C,Enrolled
CRS000801,2026085600000008,ECO101,Microeconomics,3.0,8,Prof. Sultana,D,Enrolled
CRS000802,2026085600000008,ECO203,Macroeconomics,3.0,8,Mr. Chowdhury,D,Enrolled
CRS000803,2026085600000008,ECO221,Bangladesh Economy,3.0,8,Ms. Akter,D,Enrolled
CRS000804,2026085600000008,ECO303,Development Economics,3.0,8,Dr. Karim,D,Enrolled
CRS000805,2026085600000008,ECO315,Econometrics,3.0,8,Prof. Sultana,D,Enrolled
CRS000901,2026014900000009,CSE101,Structured Programming,3.0,1,Ms. Akter,A,Enrolled
CRS000902,2026014900000009,CSE203,Data Structures,3.0,1,Mr. Chowdhury,A,Enrolled
CRS000903,2026014900000009,CSE211,Database Systems,3.0,1,Ms. Akter,A,Enrolled
CRS000904,2026014900000009,CSE305,Operating Systems,3.0,1,Dr. Karim,A,Enrolled
