exam_id,student_id,semester,course_code,exam_type,exam_date,marks,grade,gpa
EXM000101,2026014900000001,1,CSE101,Final,2026-07-03,65,B+,3.25
EXM000102,2026014900000001,1,CSE203,Final,2026-07-04,74,A-,3.50
EXM000103,2026014900000001,1,CSE211,Final,2026-07-05,89,A+,4.00
EXM000104,2026014900000001,1,CSE305,Final,2026-07-06,60,B,3.00
EXM000105,2026014900000001,1,CSE321,Final,2026-07-07,78,A,3.75
EXM000201,2026025000000002,2,EEE101,Final,2026-07-04,68,B+,3.25
EXM000202,2026025000000002,2,EEE203,Final,2026-07-05,46,C,2.25
EXM000203,2026025000000002,2,EEE221,Final,2026-07-06,79,A,3.75
EXM000204,2026025000000002,2,EEE303,Final,2026-07-07,47,C,2.25
EXM000205,2026025000000002,2,EEE315,Final,2026-07-08,85,A+,4.00
EXM000301,2026035100000003,3,BUS101,Final,2026-07-05,49,C,2.25
EXM000302,2026035100000003,3,BUS203,Final,2026-07-06,80,A+,4.00
EXM000303,2026035100000003,3,FIN221,Final,2026-07-07,66,B+,3.25
EXM000304,2026035100000003,3,MKT301,Final,2026-07-08,79,A,3.75
EXM000305,2026035100000003,3,ACC211,Final,2026-07-09,89,A+,4.00
EXM000401,2026045200000004,4,ENG101,Final,2026-07-06,73,A-,3.50
EXM000402,2026045200000004,4,ENG205,Final,2026-07-07,88,A+,4.00
EXM000403,2026045200000004,4,ENG221,Final,2026-07-08,88,A+,4.00
EXM000404,2026045200000004,4,ENG303,Final,2026-07-09,96,A+,4.00
EXM000405,2026045200000004,4,ENG315,Final,2026-07-10,54,C+,2.50
EXM000501,2026055300000005,5,LAW101,Final,2026-07-07,57,B-,2.75
EXM000502,2026055300000005,5,LAW203,Final,2026-07-08,72,A-,3.50
EXM000503,2026055300000005,5,LAW221,Final,2026-07-09,49,C,2.25
EXM000504,2026055300000005,5,LAW303,Final,2026-07-10,54,C+,2.50
EXM000505,2026055300000005,5,LAW315,Final,2026-07-11,64,B,3.00
EXM000601,2026065400000006,6,PHR101,Final,2026-07-08,96,A+,4.00
EXM000602,2026065400000006,6,PHR203,Final,2026-07-09,70,A-,3.50
